P20536	4OD8
Q9NPI9	AF-Q9NPI9-F1
F4JLE5	AF-F4JLE5-F1
Q6PL45	AF-Q6PL45-F1
P32849	5YRQ
Q9UBN4	AF-Q9UBN4-F1
Q06409	AF-Q06409-F1
Q02820	AF-Q02820-F1
P0AB91	1GG1
Q06152	AF-Q06152-F1
Q9USN1	AF-Q9USN1-F1
Q87KN2	AF-Q87KN2-F1
B7TB45	AF-B7TB45-F1
Q8WXC6	AF-Q8WXC6-F1
P56378	8H9F
Q7L945	AF-Q7L945-F1
Q6DBG8	AF-Q6DBG8-F1
Q5W251	AF-Q5W251-F1
Q80Y81	AF-Q80Y81-F1
Q9BVL4	UnFound
P24329	AF-P24329-F1
Q00438	AF-Q00438-F1
Q3MIE4	AF-Q3MIE4-F1
K9N5R3	7P72
G5EDR5	AF-G5EDR5-F1
P0DMV4	AF-P0DMV4-F1
Q9FY48	AF-Q9FY48-F1
Q05676	AF-Q05676-F1
O74765	AF-O74765-F1
O95185	AF-O95185-F1
P39521	AF-P39521-F1
Q94261	AF-Q94261-F1
P47157	AF-P47157-F1
Q9FHT4	AF-Q9FHT4-F1
F1Q8R9	AF-F1Q8R9-F1
P77279	AF-P77279-F1
P42685	AF-P42685-F1
P57761	AF-P57761-F1
P03630	1DWN
Q5AQZ4	AF-Q5AQZ4-F1
O95935	AF-O95935-F1
Q9AQU5	AF-Q9AQU5-F1
P0C0T0	AF-P0C0T0-F1
O00743	AF-O00743-F1
Q9UI14	AF-Q9UI14-F1
P53938	AF-P53938-F1
P19359	AF-P19359-F1
P08900	2LI7
P36969	2GS3
G3XCX7	2Y4X
Q9Y7R1	AF-Q9Y7R1-F1
Q95195	AF-Q95195-F1
Q869S9	AF-Q869S9-F1
O75558	AF-O75558-F1
O75170	AF-O75170-F1
Q9LEZ4	AF-Q9LEZ4-F1
O04313	AF-O04313-F1
Q9LHJ3	AF-Q9LHJ3-F1
W7JLR6	AF-W7JLR6-F1
O96013	2BVA
Q04712	5N5Y
P56381	8H9F
P25565	AF-P25565-F1
P54681	AF-P54681-F1
Q9P0V3	AF-Q9P0V3-F1
O46200	AF-O46200-F1
O14645	8J07
P33361	AF-P33361-F1
P0A2W6	1FTE
Q9UN76	AF-Q9UN76-F1
Q2PYN8	UnFound
Q566X8	AF-Q566X8-F1
Q71QF9	AF-Q71QF9-F1
Q2W8P6	AF-Q2W8P6-F1
Q9P0S2	AF-Q9P0S2-F1
Q03193	AF-Q03193-F1
P0A366	1CIY
Q01252	AF-Q01252-F1
P20941	AF-P20941-F1
Q7Z4N8	AF-Q7Z4N8-F1
Q9M9V7	AF-Q9M9V7-F1
A2AJ76	UnFound
P07333	2I0V
D4GZE7	2L32
Q997F2	UnFound
Q8N4B4	AF-Q8N4B4-F1
O74742	AF-O74742-F1
P0C0J0	1DKI
Q9LF80	AF-Q9LF80-F1
Q8UVD9	AF-Q8UVD9-F1
Q58GE8	AF-Q58GE8-F1
P24384	5MQ0
P84787	AF-P84787-F1
Q8CES1	AF-Q8CES1-F1
Q12239	AF-Q12239-F1
Q9P779	AF-Q9P779-F1
Q05580	AF-Q05580-F1
Q9FV71	AF-Q9FV71-F1
P36527	3J6B
Q6DRC3	AF-Q6DRC3-F1
Q9LZ20	AF-Q9LZ20-F1
O22633	AF-O22633-F1
P92973	AF-P92973-F1
Q15723	AF-Q15723-F1
Q9D2J4	AF-Q9D2J4-F1
P31168	AF-P31168-F1
Q62376	AF-Q62376-F1
Q96JG6	AF-Q96JG6-F1
P74132	AF-P74132-F1
Q8R1P4	AF-Q8R1P4-F1
Q86XI2	AF-Q86XI2-F1
Q62649	AF-Q62649-F1
P47876	AF-P47876-F1
Q96DS6	AF-Q96DS6-F1
Q2PS07	AF-Q2PS07-F1
Q06645	AF-Q06645-F1
Q9P7U4	AF-Q9P7U4-F1
O22194	AF-O22194-F1
Q700C7	AF-Q700C7-F1
Q9QUL0	AF-Q9QUL0-F1
A6NCN2	AF-A6NCN2-F1
Q8RMH6	2AAN
Q9US47	AF-Q9US47-F1
P54401	AF-P54401-F1
P97943	AF-P97943-F1
O04291	AF-O04291-F1
P38632	3HTK
Q13394	5EOG
P38140	AF-P38140-F1
Q9UWF6	AF-Q9UWF6-F1
Q9H4E7	AF-Q9H4E7-F1
Q9SJC4	AF-Q9SJC4-F1
Q8VYF4	AF-Q8VYF4-F1
Q9AET7	5VAE
B6ETT4	AF-B6ETT4-F1
P79342	AF-P79342-F1
P80297	AF-P80297-F1
Q9HB75	2OF5
P08716	1MT0
Q38905	AF-Q38905-F1
Q969G3	6LTH
Q6RYA0	1XKL
P35510	AF-P35510-F1
Q19872	AF-Q19872-F1
P31446	AF-P31446-F1
Q8CG79	AF-Q8CG79-F1
Q9BYD6	7A5K
Q9UPN7	AF-Q9UPN7-F1
P12709	AF-P12709-F1
Q8NQ98	AF-Q8NQ98-F1
P92939	AF-P92939-F1
Q42545	AF-Q42545-F1
P00655	1DE3
P48356	7Z3P
Q5Z807	AF-Q5Z807-F1
Q9NQ66	AF-Q9NQ66-F1
Q8NQJ3	2KB3
Q9XX85	AF-Q9XX85-F1
Q09922	AF-Q09922-F1
Q22227	AF-Q22227-F1
P07026	2AVX
Q4WG11	AF-Q4WG11-F1
P43637	AF-P43637-F1
Q9D855	7O3C
P25855	AF-P25855-F1
Q13835	1XM9
Q04751	AF-Q04751-F1
B0F481	4A0F
Q91XE9	AF-Q91XE9-F1
P12850	AF-P12850-F1
O22993	AF-O22993-F1
Q52462	AF-Q52462-F1
Q96IZ2	AF-Q96IZ2-F1
P49268	2M36
A1IKL2	2MAR
Q6PJ61	AF-Q6PJ61-F1
P54144	AF-P54144-F1
Q9LMT0	AF-Q9LMT0-F1
Q9JJH5	AF-Q9JJH5-F1
Q9D8C8	AF-Q9D8C8-F1
P35561	1U4F
Q6CEE9	AF-Q6CEE9-F1
Q06142	2BKU
Q01066	AF-Q01066-F1
O94641	AF-O94641-F1
Q9NTG7	3GLR
P39087	AF-P39087-F1
Q5JTZ5	AF-Q5JTZ5-F1
P26275	AF-P26275-F1
P52798	AF-P52798-F1
Q96C24	2CSZ
P33908	AF-P33908-F1
Q9FZK1	AF-Q9FZK1-F1
P38858	AF-P38858-F1
Q10217	AF-Q10217-F1
Q8WXI7	7SA9
Q8C985	AF-Q8C985-F1
Q13023	AF-Q13023-F1
F1Q8X5	AF-F1Q8X5-F1
P40416	4MYC
P12354	AF-P12354-F1
Q3THG9	AF-Q3THG9-F1
Q0WTP1	AF-Q0WTP1-F1
Q925Q3	AF-Q925Q3-F1
Q8VY84	AF-Q8VY84-F1
Q5U777	AF-Q5U777-F1
P43975	AF-P43975-F1
Q8BK84	AF-Q8BK84-F1
Q9IK92	4CO6
P12107	AF-P12107-F1
Q58085	2AZN
O69670	AF-O69670-F1
O80483	AF-O80483-F1
Q8GUG7	AF-Q8GUG7-F1
Q9BRS8	2MTF
P0AA39	1V9K
Q9H2B4	AF-Q9H2B4-F1
Q794E4	AF-Q794E4-F1
Q6PEC3	AF-Q6PEC3-F1
P0A7I7	2BZ0
Q9HB03	AF-Q9HB03-F1
P62149	1AHR
Q9LTS4	AF-Q9LTS4-F1
Q9UW23	AF-Q9UW23-F1
Q3UHC0	AF-Q3UHC0-F1
Q96511	AF-Q96511-F1
P62743	2JKR
B4FZ81	AF-B4FZ81-F1
Q02455	AF-Q02455-F1
Q9HB63	AF-Q9HB63-F1
P11449	AF-P11449-F1
P03406	1AVV
Q6ZV65	AF-Q6ZV65-F1
Q5SQS8	AF-Q5SQS8-F1
O59760	AF-O59760-F1
F4I9T0	AF-F4I9T0-F1
Q8N344	AF-Q8N344-F1
Q9FY93	AF-Q9FY93-F1
P04147	1IFW
Q10NQ3	AF-Q10NQ3-F1
P42497	AF-P42497-F1
Q7ZUV2	AF-Q7ZUV2-F1
Q9HW91	5LT9
Q7ZSY6	AF-Q7ZSY6-F1
Q9NZD4	1W09
Q10149	AF-Q10149-F1
P63037	AF-P63037-F1
P68369	6JZD
P52420	AF-P52420-F1
Q02159	2UCZ
P40384	AF-P40384-F1
Q9SS48	AF-Q9SS48-F1
O95214	AF-O95214-F1
O60238	AF-O60238-F1
Q12433	AF-Q12433-F1
O89046	AF-O89046-F1
Q9JI15	3KL8
Q01097	AF-Q01097-F1
P47108	AF-P47108-F1
A0A509AJL3	AF-A0A509AJL3-F1
Q54818	AF-Q54818-F1
Q9H4F1	AF-Q9H4F1-F1
Q9ES81	AF-Q9ES81-F1
P0AE08	5B8A
A6NHQ2	AF-A6NHQ2-F1
Q7XA87	AF-Q7XA87-F1
P53037	AF-P53037-F1
Q1PS67	4O26
Q80VA0	AF-Q80VA0-F1
Q8LF97	AF-Q8LF97-F1
Q54FL2	AF-Q54FL2-F1
I0IUP4	7W7P
Q99M87	AF-Q99M87-F1
Q5T0L3	AF-Q5T0L3-F1
Q9JLI6	AF-Q9JLI6-F1
Q9ERI5	AF-Q9ERI5-F1
Q9SBF3	AF-Q9SBF3-F1
Q8BSS9	AF-Q8BSS9-F1
Q9A5I5	AF-Q9A5I5-F1
Q06689	AF-Q06689-F1
Q6P0D0	AF-Q6P0D0-F1
Q9C9H1	AF-Q9C9H1-F1
Q8MKW7	AF-Q8MKW7-F1
P53736	AF-P53736-F1
P27605	AF-P27605-F1
P9WGC7	AF-P9WGC7-F1
O32975	AF-O32975-F1
Q7M6Y5	AF-Q7M6Y5-F1
P81461	2A7A
Q3V1L4	AF-Q3V1L4-F1
D5KXD2	AF-D5KXD2-F1
P00334	1MG5
P97481	4ZP4
Q9FGC7	AF-Q9FGC7-F1
O76002	AF-O76002-F1
Q9LFT6	3DQZ
Q23593	AF-Q23593-F1
P31469	AF-P31469-F1
Q9NY64	AF-Q9NY64-F1
Q4PSE8	AF-Q4PSE8-F1
P17077	7QGG
Q92890	2YUJ
Q9H9S4	3ZHP
Q02932	6FVB
Q00278	AF-Q00278-F1
A1L020	AF-A1L020-F1
O75553	AF-O75553-F1
Q6NL02	AF-Q6NL02-F1
F1RRV3	AF-F1RRV3-F1
Q9LHD2	AF-Q9LHD2-F1
Q0D715	AF-Q0D715-F1
P0A6A8	1ACP
P81182	AF-P81182-F1
Q80ZF7	AF-Q80ZF7-F1
P58908	2ZBJ
Q04781	5FG0
Q9P7S9	AF-Q9P7S9-F1
Q9V521	AF-Q9V521-F1
Q0DDF6	AF-Q0DDF6-F1
G8XHD7	AF-G8XHD7-F1
P9WM53	AF-P9WM53-F1
P13214	1ANN
Q9DB43	AF-Q9DB43-F1
P29539	4BJS
Q9X0X3	1VK3
Q9NRQ2	3Q5U
Q3C1E3	AF-Q3C1E3-F1
Q9M1K1	AF-Q9M1K1-F1
P02693	1A57
Q9V345	AF-Q9V345-F1
Q9Y5Z6	AF-Q9Y5Z6-F1
O44342	1OVN
Q86PM2	AF-Q86PM2-F1
Q5KS41	AF-Q5KS41-F1
Q14140	AF-Q14140-F1
P0CX56	AF-P0CX56-F1
Q2RSB2	1F8G
Q9JKL7	AF-Q9JKL7-F1
P31675	AF-P31675-F1
Q9M024	AF-Q9M024-F1
P24101	AF-P24101-F1
B2RZ27	AF-B2RZ27-F1
Q54RX6	AF-Q54RX6-F1
P75682	2V8Z
Q8K0H7	AF-Q8K0H7-F1
Q8MLZ3	AF-Q8MLZ3-F1
P28347	2HZD
Q9Y9L0	1X0R
Q93ZV7	AF-Q93ZV7-F1
P32182	AF-P32182-F1
P22256	1SF2
Q86XR8	4L0R
Q9C0F0	AF-Q9C0F0-F1
Q92376	AF-Q92376-F1
Q9D4J1	7CLT
Q99972	4WXQ
Q14674	7NJ0
P70611	AF-P70611-F1
Q9WVQ0	AF-Q9WVQ0-F1
Q9ZSK5	AF-Q9ZSK5-F1
Q76NM1	AF-Q76NM1-F1
Q63548	AF-Q63548-F1
Q8VDT9	AF-Q8VDT9-F1
Q12458	AF-Q12458-F1
P78594	AF-P78594-F1
Q9S736	AF-Q9S736-F1
O88806	AF-O88806-F1
Q06599	AF-Q06599-F1
O69652	AF-O69652-F1
O94423	AF-O94423-F1
Q80X41	AF-Q80X41-F1
Q9D0V7	AF-Q9D0V7-F1
P28166	AF-P28166-F1
P9WG05	AF-P9WG05-F1
Q22678	AF-Q22678-F1
Q9P7D0	AF-Q9P7D0-F1
Q6ZUT3	AF-Q6ZUT3-F1
Q03755	AF-Q03755-F1
Q9Z2W8	AF-Q9Z2W8-F1
Q94AR6	AF-Q94AR6-F1
P68451	UnFound
Q6DUW6	AF-Q6DUW6-F1
A0PJW6	AF-A0PJW6-F1
Q30HU9	AF-Q30HU9-F1
Q5AMR5	AF-Q5AMR5-F1
Q9UPW8	AF-Q9UPW8-F1
P23497	1H5P
P18481	4P0D
P01743	AF-P01743-F1
Q5T4F7	AF-Q5T4F7-F1
Q9C8N7	AF-Q9C8N7-F1
Q7K4Y6	4M48
Q56XM9	AF-Q56XM9-F1
Q9C983	AF-Q9C983-F1
O82352	AF-O82352-F1
O22160	3N90
O81291	AF-O81291-F1
Q80XZ4	6WEO
Q94JG1	AF-Q94JG1-F1
Q2IBC5	AF-Q2IBC5-F1
Q6P2L6	AF-Q6P2L6-F1
Q90435	AF-Q90435-F1
Q8CGD2	AF-Q8CGD2-F1
P97639	AF-P97639-F1
Q8VY27	AF-Q8VY27-F1
Q8MI17	AF-Q8MI17-F1
Q69559	UnFound
Q91V24	AF-Q91V24-F1
Q6N022	7BAM
Q9SLE4	AF-Q9SLE4-F1
Q9YA13	AF-Q9YA13-F1
B1XLL7	AF-B1XLL7-F1
Q5AHH4	AF-Q5AHH4-F1
Q93W95	AF-Q93W95-F1
P08669	4ZJF
P47045	6LO8
Q8JH68	AF-Q8JH68-F1
A0QXD8	AF-A0QXD8-F1
P07117	AF-P07117-F1
P52124	AF-P52124-F1
Q12338	AF-Q12338-F1
P91745	AF-P91745-F1
Q91WV7	AF-Q91WV7-F1
D3YVF0	AF-D3YVF0-F1
Q9Y6E2	AF-Q9Y6E2-F1
P76053	3QD7
Q6L568	AF-Q6L568-F1
P51998	3J6B
P78413	AF-P78413-F1
Q6P1D5	AF-Q6P1D5-F1
P27654	AF-P27654-F1
Q5E5Y7	AF-Q5E5Y7-F1
P0C7S9	AF-P0C7S9-F1
O60755	AF-O60755-F1
Q99K30	AF-Q99K30-F1
P48234	5WLC
Q9XIW0	AF-Q9XIW0-F1
P08400	AF-P08400-F1
P70263	AF-P70263-F1
P96558	1PN3
A6H8H2	AF-A6H8H2-F1
Q9LMH6	AF-Q9LMH6-F1
O74350	AF-O74350-F1
P23739	AF-P23739-F1
P43319	AF-P43319-F1
Q6F4N5	AF-Q6F4N5-F1
P04636	AF-P04636-F1
Q9P2W7	1V82
Q3UN54	AF-Q3UN54-F1
P08456	AF-P08456-F1
P34470	AF-P34470-F1
Q29RB1	AF-Q29RB1-F1
Q6R0C4	AF-Q6R0C4-F1
Q6NWG4	AF-Q6NWG4-F1
Q3UQ28	AF-Q3UQ28-F1
Q3UIZ8	AF-Q3UIZ8-F1
P02401	AF-P02401-F1
O35144	AF-O35144-F1
P39137	AF-P39137-F1
Q50L42	AF-Q50L42-F1
Q9UN88	AF-Q9UN88-F1
Q9V4Z9	AF-Q9V4Z9-F1
P0C478	AF-P0C478-F1
Q4V8B0	AF-Q4V8B0-F1
P29485	AF-P29485-F1
Q9LJR7	AF-Q9LJR7-F1
O60636	AF-O60636-F1
Q60857	AF-Q60857-F1
P19925	AF-P19925-F1
O44548	2M3A
P78559	UnFound
Q9FYK2	AF-Q9FYK2-F1
P29323	1B4F
Q7TMY8	UnFound
Q9JMK8	AF-Q9JMK8-F1
P78012	AF-P78012-F1
O95409	AF-O95409-F1
P34561	AF-P34561-F1
P39750	AF-P39750-F1
Q8NE71	5ZXD
Q8N2M8	AF-Q8N2M8-F1
Q08722	2JJS
Q9H246	AF-Q9H246-F1
Q50L36	AF-Q50L36-F1
Q53KK6	AF-Q53KK6-F1
X4Y2L4	7EYO
Q5UG13	AF-Q5UG13-F1
Q9LV66	1XY7
P70403	AF-P70403-F1
Q6NN02	AF-Q6NN02-F1
H9BFW7	AF-H9BFW7-F1
Q9SJ81	AF-Q9SJ81-F1
Q9Y3V2	2EBK
Q9UBT6	1T94
Q91YE5	AF-Q91YE5-F1
P38206	AF-P38206-F1
P9WHC7	7MSC
Q921D4	6W1S
Q9USW1	AF-Q9USW1-F1
Q6NXR0	AF-Q6NXR0-F1
Q32PI6	2FTC
P36166	AF-P36166-F1
P51531	2DAT
P60040	AF-P60040-F1
Q6NKX1	AF-Q6NKX1-F1
Q8BWB1	AF-Q8BWB1-F1
Q48271	1YG0
A1Y9I9	AF-A1Y9I9-F1
Q9FUQ7	AF-Q9FUQ7-F1
O74994	AF-O74994-F1
O60462	2QQJ
Q9Y2H1	5XQZ
P15813	1ZT4
Q6AXT8	AF-Q6AXT8-F1
P87158	AF-P87158-F1
Q9C0V9	AF-Q9C0V9-F1
P05734	8ESQ
Q9C9E1	AF-Q9C9E1-F1
P27637	AF-P27637-F1
Q8J2Q6	AF-Q8J2Q6-F1
Q9D8C3	AF-Q9D8C3-F1
Q24143	AF-Q24143-F1
P36608	AF-P36608-F1
P39535	AF-P39535-F1
O74738	AF-O74738-F1
Q8TBK6	AF-Q8TBK6-F1
Q9NV56	2N1D
P22855	5JM0
Q9Y169	AF-Q9Y169-F1
Q86X60	AF-Q86X60-F1
Q8K3F3	AF-Q8K3F3-F1
Q9WTY1	AF-Q9WTY1-F1
O60346	AF-O60346-F1
Q84M91	AF-Q84M91-F1
P86592	UnFound
P0AFP4	AF-P0AFP4-F1
P52370	UnFound
P31087	1K0T
Q9VB14	4V6W
Q9UTQ6	AF-Q9UTQ6-F1
Q9FTA2	AF-Q9FTA2-F1
P40541	4UVJ
Q969R8	AF-Q969R8-F1
Q9SCK6	AF-Q9SCK6-F1
P28843	AF-P28843-F1
Q9C5N8	AF-Q9C5N8-F1
Q49MG5	AF-Q49MG5-F1
Q8NDB2	AF-Q8NDB2-F1
E9Q5M6	AF-E9Q5M6-F1
Q13362	2IAE
Q08920	6N7P
P09468	AF-P09468-F1
P09832	AF-P09832-F1
Q9PSN0	AF-Q9PSN0-F1
Q9BS91	AF-Q9BS91-F1
Q865P3	AF-Q865P3-F1
Q96M29	AF-Q96M29-F1
Q8U1R4	2EY4
Q5U4N7	AF-Q5U4N7-F1
Q8WWY8	AF-Q8WWY8-F1
Q54DT1	AF-Q54DT1-F1
D4GSH7	AF-D4GSH7-F1
Q27593	AF-Q27593-F1
Q56XU4	AF-Q56XU4-F1
Q9LSP8	AF-Q9LSP8-F1
Q4QQM5	AF-Q4QQM5-F1
Q9Y646	AF-Q9Y646-F1
P0A8J4	1RWU
P95434	2UWJ
Q8C0F9	AF-Q8C0F9-F1
Q6ASS9	AF-Q6ASS9-F1
O35972	AF-O35972-F1
Q80ZA4	UnFound
P41499	AF-P41499-F1
Q838S1	4A02
Q15427	1X5T
T1RRL8	AF-T1RRL8-F1
F4IDJ0	AF-F4IDJ0-F1
P9WHW5	1TXO
Q9FDX6	AF-Q9FDX6-F1
Q8TBE7	AF-Q8TBE7-F1
P39793	AF-P39793-F1
P42620	3R3E
Q7Z9J4	AF-Q7Z9J4-F1
O14599	AF-O14599-F1
Q2LAM0	AF-Q2LAM0-F1
Q6DKK2	AF-Q6DKK2-F1
P0DP58	2L03
Q6H434	AF-Q6H434-F1
Q6NT04	AF-Q6NT04-F1
Q9W740	AF-Q9W740-F1
P03995	AF-P03995-F1
Q9H175	AF-Q9H175-F1
Q96MG7	5HVQ
Q8GWW7	1VKP
Q8BGW2	AF-Q8BGW2-F1
P82927	AF-P82927-F1
Q9DCV7	AF-Q9DCV7-F1
Q5SSL4	AF-Q5SSL4-F1
Q59UT5	AF-Q59UT5-F1
P0DN22	AF-P0DN22-F1
A8R0V4	AF-A8R0V4-F1
Q56062	1O5Q
O42643	AF-O42643-F1
Q9H1Y0	4GDK
Q8K3L6	AF-Q8K3L6-F1
O94363	AF-O94363-F1
Q6P7D5	AF-Q6P7D5-F1
O73947	1GE8
Q9VCY3	4E0Q
P17553	AF-P17553-F1
Q8H443	AF-Q8H443-F1
O93385	AF-O93385-F1
P28167	UnFound
P61075	AF-P61075-F1
P53703	AF-P53703-F1
O70194	AF-O70194-F1
P15278	AF-P15278-F1
Q6TMJ3	AF-Q6TMJ3-F1
P18297	AF-P18297-F1
Q92112	AF-Q92112-F1
O93868	1H5Q
O94324	AF-O94324-F1
P47175	AF-P47175-F1
Q9Z339	AF-Q9Z339-F1
Q9C544	AF-Q9C544-F1
Q9Z1X2	AF-Q9Z1X2-F1
Q8IHZ5	AF-Q8IHZ5-F1
Q9SRY6	AF-Q9SRY6-F1
Q695T7	6M17
P78344	3D3M
Q9URW9	AF-Q9URW9-F1
Q8CD10	6EAZ
Q03799	5MRC
Q9M297	AF-Q9M297-F1
F4JIK2	AF-F4JIK2-F1
Q9D494	AF-Q9D494-F1
Q683C9	AF-Q683C9-F1
Q90Z80	AF-Q90Z80-F1
Q5AD72	AF-Q5AD72-F1
Q5U5Z8	AF-Q5U5Z8-F1
Q6FRI3	AF-Q6FRI3-F1
Q6GPB9	AF-Q6GPB9-F1
P00518	1PHK
Q0WTB8	AF-Q0WTB8-F1
F4HXQ7	AF-F4HXQ7-F1
O75461	AF-O75461-F1
Q9JL99	AF-Q9JL99-F1
P48542	2E4F
P17773	AF-P17773-F1
P91119	AF-P91119-F1
Q09829	AF-Q09829-F1
Q05921	AF-Q05921-F1
Q96FN9	AF-Q96FN9-F1
O94248	6OR5
Q8TDM0	AF-Q8TDM0-F1
P20674	5Z62
Q04226	AF-Q04226-F1
Q1LVF3	AF-Q1LVF3-F1
P09919	1CD9
P02795	1MHU
Q5U2N3	AF-Q5U2N3-F1
G5EEE1	AF-G5EEE1-F1
Q9P273	AF-Q9P273-F1
Q54T81	AF-Q54T81-F1
Q5VRI5	AF-Q5VRI5-F1
P35820	AF-P35820-F1
O08992	AF-O08992-F1
Q32KZ9	7RRO
Q6GPH4	2LXW
P02651	AF-P02651-F1
Q9N3T2	AF-Q9N3T2-F1
O74413	AF-O74413-F1
Q08397	AF-Q08397-F1
Q99NA2	AF-Q99NA2-F1
Q9H987	AF-Q9H987-F1
Q7KPA5	AF-Q7KPA5-F1
O17670	AF-O17670-F1
P46800	AF-P46800-F1
Q8VZS9	AF-Q8VZS9-F1
F4ISL7	AF-F4ISL7-F1
Q5IBC5	AF-Q5IBC5-F1
P9WFZ9	AF-P9WFZ9-F1
Q2LAP6	AF-Q2LAP6-F1
P32458	5AR1
P68951	6B1T
P0AF63	AF-P0AF63-F1
Q8GAH9	AF-Q8GAH9-F1
C1PGW1	AF-C1PGW1-F1
Q9LT25	AF-Q9LT25-F1
P08937	3FIQ
Q9VX88	AF-Q9VX88-F1
P32477	3IG5
Q9C633	AF-Q9C633-F1
Q9Z2J9	AF-Q9Z2J9-F1
Q8JGR7	AF-Q8JGR7-F1
P49585	AF-P49585-F1
P14781	5E53
P56589	3AJB
Q8ZQQ2	AF-Q8ZQQ2-F1
O97725	5LC5
Q5M7U6	AF-Q5M7U6-F1
Q9P802	5HJ0
Q9H3J6	7A5H
P34714	AF-P34714-F1
P23542	1YAA
Q642J5	AF-Q642J5-F1
Q7YS88	AF-Q7YS88-F1
Q01859	AF-Q01859-F1
X1WGX5	AF-X1WGX5-F1
P60852	AF-P60852-F1
P31377	AF-P31377-F1
P32892	AF-P32892-F1
Q9MAP8	AF-Q9MAP8-F1
O07226	AF-O07226-F1
O75325	AF-O75325-F1
P62554	1VUB
Q4WLV6	5HWB
Q69091	3U82
Q8R2F2	AF-Q8R2F2-F1
Q3SZ22	AF-Q3SZ22-F1
A6NND4	AF-A6NND4-F1
Q96A35	3J7Y
Q8QZY4	AF-Q8QZY4-F1
Q9UF47	AF-Q9UF47-F1
Q04089	1U2Z
A5A3E0	AF-A5A3E0-F1
Q3V1N9	AF-Q3V1N9-F1
Q99689	AF-Q99689-F1
Q504M8	AF-Q504M8-F1
Q9LRW6	AF-Q9LRW6-F1
Q86YW5	2FRG
Q55CH0	AF-Q55CH0-F1
Q94F20	AF-Q94F20-F1
Q9SZI3	AF-Q9SZI3-F1
O76021	8FKP
P48011	3H0G
P03686	UnFound
P9WFD3	AF-P9WFD3-F1
Q9SQV1	AF-Q9SQV1-F1
P21711	AF-P21711-F1
Q9XWJ1	5NKK
P34420	AF-P34420-F1
Q5DTW7	AF-Q5DTW7-F1
P79621	AF-P79621-F1
Q9Y484	AF-Q9Y484-F1
P09436	7D5C
P10215	4ZXS
Q8GUE4	AF-Q8GUE4-F1
Q9FNE4	AF-Q9FNE4-F1
Q8NE31	AF-Q8NE31-F1
Q09792	AF-Q09792-F1
Q9Y547	1TVG
O88677	AF-O88677-F1
Q86A84	AF-Q86A84-F1
Q22361	AF-Q22361-F1
O14019	AF-O14019-F1
O13743	AF-O13743-F1
Q92838	1RJ7
P20772	AF-P20772-F1
P0C923	AF-P0C923-F1
P51675	AF-P51675-F1
O04848	AF-O04848-F1
P04546	UnFound
P9WJB5	AF-P9WJB5-F1
Q9CAD5	AF-Q9CAD5-F1
I1CFE1	AF-I1CFE1-F1
Q9SCS7	AF-Q9SCS7-F1
Q6T367	AF-Q6T367-F1
Q925C0	AF-Q925C0-F1
Q9HUJ8	AF-Q9HUJ8-F1
Q4QEZ7	3S4O
P0AAW5	AF-P0AAW5-F1
P9WJ13	AF-P9WJ13-F1
Q49610	1FTR
P30549	AF-P30549-F1
Q14201	AF-Q14201-F1
A3BLS0	AF-A3BLS0-F1
Q9JM90	AF-Q9JM90-F1
Q62233	AF-Q62233-F1
Q08DU8	AF-Q08DU8-F1
A5HZ59	AF-A5HZ59-F1
Q9V589	AF-Q9V589-F1
P15516	AF-P15516-F1
Q6W5C0	AF-Q6W5C0-F1
Q3T0J3	2FTC
C5YJG8	7SUX
Q6NMA7	AF-Q6NMA7-F1
Q9GT49	AF-Q9GT49-F1
P07988	1DFW
P53323	4WW5
Q8J2Q9	AF-Q8J2Q9-F1
Q9EQ60	AF-Q9EQ60-F1
P63032	AF-P63032-F1
P33200	AF-P33200-F1
Q9VXT2	AF-Q9VXT2-F1
P9WND9	AF-P9WND9-F1
Q2KHK6	AF-Q2KHK6-F1
Q13303	1ZSX
P10541	UnFound
P9WKS9	AF-P9WKS9-F1
Q8GYM1	AF-Q8GYM1-F1
Q8VZR0	AF-Q8VZR0-F1
P9WJ73	4HEC
O74963	AF-O74963-F1
O17731	AF-O17731-F1
Q52PJ5	AF-Q52PJ5-F1
D4A2Z8	AF-D4A2Z8-F1
Q9X9S0	AF-Q9X9S0-F1
Q9QZB7	AF-Q9QZB7-F1
Q5EB52	AF-Q5EB52-F1
P37217	AF-P37217-F1
Q96K58	AF-Q96K58-F1
P0CT55	AF-P0CT55-F1
Q6ZS10	AF-Q6ZS10-F1
O88574	2LD7
P46002	AF-P46002-F1
Q9HU18	AF-Q9HU18-F1
A5A615	AF-A5A615-F1
P40496	5MRC
Q54P86	AF-Q54P86-F1
P62450	AF-P62450-F1
Q7KRW1	AF-Q7KRW1-F1
Q9STM4	AF-Q9STM4-F1
Q47910	AF-Q47910-F1
Q8TCT7	AF-Q8TCT7-F1
Q5E9E2	AF-Q5E9E2-F1
P52172	AF-P52172-F1
Q9CUS9	AF-Q9CUS9-F1
P19490	2AWW
Q9P0L2	2HAK
Q9PUK8	AF-Q9PUK8-F1
P0CX54	AF-P0CX54-F1
P18337	AF-P18337-F1
Q504H8	AF-Q504H8-F1
O76031	AF-O76031-F1
P33349	AF-P33349-F1
Q2QKR2	AF-Q2QKR2-F1
G5EGL9	AF-G5EGL9-F1
Q9YGW7	AF-Q9YGW7-F1
P9WPY5	2BJB
Q9UBL3	3RSN
